Hora,Compresor 3 - RCS: Presión de Succion,Compresor 3 - RCS: Presión de Descarga,Compresor 3 - RCS: Temperatura de Aceite,Compresor 3 - RCS: Temperatura de Descarga,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
2025-01-01 00:00:00 GMT-3,1.312,8.58,39.58,60.46,,,,,,
2025-01-01 00:05:00 GMT-3,1.302,8.5,39.42,60.26,,,,,,
2025-01-01 00:10:00 GMT-3,1.31,8.5,39.38,60.36,,,,,,
2025-01-01 00:15:00 GMT-3,1.31,8.52,39.46,60.44,,,,,,
2025-01-01 00:20:00 GMT-3,1.31,8.6,39.5,60.5,,,,,,
2025-01-01 00:25:00 GMT-3,1.314,8.6,39.56,60.5,,,,,,
2025-01-01 00:30:00 GMT-3,1.316,8.56,39.54,60.48,,,,,,
2025-01-01 00:35:00 GMT-3,1.26,8.68,39.74,60.6,,,,,,
2025-01-01 00:40:00 GMT-3,1.23,8.88,39.98,60.74,,,,,,
2025-01-01 00:45:00 GMT-3,1.218,8.98,40.16,60.7,,,,,,
2025-01-01 00:50:00 GMT-3,1.224,9.0,40.1,60.86,,,,,,
2025-01-01 00:55:00 GMT-3,1.238,9.0,40.24,61.04,,,,,,
2025-01-01 01:00:00 GMT-3,1.258,9.04,40.34,61.16,,,,,,
2025-01-01 01:05:00 GMT-3,1.268,9.1,40.4,61.28,,,,,,
2025-01-01 01:10:00 GMT-3,1.268,9.1,40.38,61.3,,,,,,
2025-01-01 01:15:00 GMT-3,1.27,9.1,40.4,61.38,,,,,,
2025-01-01 01:20:00 GMT-3,1.274,9.1,40.36,61.44,,,,,,
2025-01-01 01:25:00 GMT-3,1.27,9.1,40.3,61.36,,,,,,
2025-01-01 01:30:00 GMT-3,1.26,9.1,40.3,61.32,,,,,,
2025-01-01 01:35:00 GMT-3,1.258,9.1,40.28,61.3,,,,,,
2025-01-01 01:40:00 GMT-3,1.252,9.06,40.3,61.28,,,,,,
2025-01-01 01:45:00 GMT-3,1.25,9.02,40.28,61.2,,,,,,
2025-01-01 01:50:00 GMT-3,1.246,9.0,40.1,61.02,,,,,,
2025-01-01 01:55:00 GMT-3,1.248,9.0,40.16,61.16,,,,,,
2025-01-01 02:00:00 GMT-3,1.242,9.0,40.24,61.2,,,,,,
2025-01-01 02:05:00 GMT-3,1.242,9.1,40.26,61.2,,,,,,
2025-01-01 02:10:00 GMT-3,1.24,9.1,40.28,61.18,,,,,,
2025-01-01 02:15:00 GMT-3,1.24,9.08,40.2,61.2,,,,,,
2025-01-01 02:20:00 GMT-3,1.24,9.0,40.24,61.2,,,,,,
2025-01-01 02:25:00 GMT-3,1.238,9.0,40.22,61.2,,,,,,
2025-01-01 02:30:00 GMT-3,1.242,9.0,40.22,61.2,,,,,,
2025-01-01 02:35:00 GMT-3,1.252,9.0,40.2,61.3,,,,,,
2025-01-01 02:40:00 GMT-3,1.24,9.0,40.2,61.2,,,,,,
2025-01-01 02:45:00 GMT-3,1.24,9.0,40.12,61.2,,,,,,
2025-01-01 02:50:00 GMT-3,1.24,9.0,40.14,61.2,,,,,,
2025-01-01 02:55:00 GMT-3,1.24,9.0,40.12,61.22,,,,,,
2025-01-01 03:00:00 GMT-3,1.238,9.0,40.1,61.18,,,,,,
2025-01-01 03:05:00 GMT-3,1.24,9.0,40.1,61.14,,,,,,
2025-01-01 03:10:00 GMT-3,1.24,9.0,40.04,61.1,,,,,,
2025-01-01 03:15:00 GMT-3,1.242,9.0,39.94,61.1,,,,,,
2025-01-01 03:20:00 GMT-3,1.24,9.0,39.9,61.1,,,,,,
2025-01-01 03:25:00 GMT-3,1.236,9.0,39.92,61.06,,,,,,
2025-01-01 03:30:00 GMT-3,1.24,9.0,39.9,61.06,,,,,,
2025-01-01 03:35:00 GMT-3,1.24,9.0,39.9,61.06,,,,,,
2025-01-01 03:40:00 GMT-3,1.236,9.0,39.9,61.1,,,,,,
2025-01-01 03:45:00 GMT-3,1.232,9.0,39.9,61.1,,,,,,
2025-01-01 03:50:00 GMT-3,1.232,9.0,39.98,61.14,,,,,,
2025-01-01 03:55:00 GMT-3,1.232,9.0,39.94,61.16,,,,,,
2025-01-01 04:00:00 GMT-3,1.238,9.0,39.9,61.12,,,,,,
2025-01-01 04:05:00 GMT-3,1.23,9.0,39.92,61.1,,,,,,
2025-01-01 04:10:00 GMT-3,1.23,8.9,39.82,61.08,,,,,,
2025-01-01 04:15:00 GMT-3,1.23,8.9,39.8,61.12,,,,,,
2025-01-01 04:20:00 GMT-3,1.228,8.9,39.84,61.1,,,,,,
2025-01-01 04:25:00 GMT-3,1.222,8.9,39.8,61.06,,,,,,
2025-01-01 04:30:00 GMT-3,1.23,8.9,39.8,61.08,,,,,,
2025-01-01 04:35:00 GMT-3,1.23,8.9,39.8,61.1,,,,,,
