No. Orden de Trabajo,Fecha,Codigo de Equipo,Descripción de Equipo,Breve Descripción,Tipo Orden de Trabajo,Tiempo Muerto / Downtime,Abierto / Historico,Estado,Horas reales,Usuario Editor,Est. Horas,No. Tarea
11711,2025-07-17 00:00:00,EC-CH-TAL1--REF-012,COMPRESOR 1 DE TORNILLO GEA,Cambio de filtros de aceite,CORRECTIVO,0,H,Terminado,8.2,ROLANDOM97,7.8,
10846,2025-06-17 00:00:00,EC-CH-TAL1--REF-012,COMPRESOR 1 DE TORNILLO GEA,Compresor 1 no enciende,CORRECTIVO,0,H,Terminado,6.2,ROLANDOM97,8.0,
10662,2025-06-04 00:00:00,EC-CH-TAL1--REF-012,COMPRESOR 1 DE TORNILLO GEA,Problemas de partida compresor 1,CORRECTIVO,0,H,Terminado,5.2,ROLANDOM97,5.0,
11838,2025-07-22 00:00:00,EC-CH-TAL1--REF-012,COMPRESOR 1 DE TORNILLO GEA,Corrective Action Needed - See Comments,ICM,0,H,Terminado,0.35,ROLANDOM97,14.0,
11712,2025-07-17 00:00:00,EC-CH-TAL1--REF-012,COMPRESOR 1 DE TORNILLO GEA,Corrective Action Needed - See Comments,ICM,0,H,Terminado,0.35,ROLANDOM97,14.0,
11713,45855,EC-CH-TAL1--REF-014,COMPRESOR 3 DE TORNILLO GEA,Corrective Action Needed - See Comments,ICM,0,H,Terminado,0.35,ROLANDOM97,14.0,
11353,45841,EC-CH-TAL1--REF-014,COMPRESOR 3 DE TORNILLO GEA,Corrective Action Needed - See Comments,ICM,0,H,Terminado,0.35,ROLANDOM97,5.0,
11158,2025-06-26 00:00:00,EC-CH-TAL1--REF-012,COMPRESOR 1 DE TORNILLO GEA,Corrective Action Needed - See Comments,ICM,0,H,Terminado,0.35,ROLANDOM97,5.0,
10845,2025-06-12 00:00:00,EC-CH-TAL1--REF-012,COMPRESOR 1 DE TORNILLO GEA,Capacidad compresor 1,ICM,0,H,Terminado,0.35,ROLANDOM97,0.35,
10638,45811,EC-CH-TAL1--REF-013,COMPRESOR 2 DE TORNILLO GEA,Corrective Action Needed - See Comments,ICM,0,H,Terminado,0.45,ROLANDOM97,0.5,
10502,45807,EC-CH-TAL1--REF-014,COMPRESOR 3 DE TORNILLO GEA,Capacidad de compresor detenida 46%,ICM,0,H,Terminado,0.35,ROLANDOM97,5.0,
10316,2025-05-22 00:00:00,EC-CH-TAL1--REF-012,COMPRESOR 1 DE TORNILLO GEA,Capacidad pegada en 99%,ICM,0,H,Terminado,0.35,ROLANDOM97,5.0,
9954,45785,EC-CH-TAL1--REF-014,COMPRESOR 3 DE TORNILLO GEA,Corrective Action Needed - See Comments,ICM,0,H,Terminado,0.0,ROLANDOM97,0.0,
9445,2025-04-16 00:00:00,EC-CH-TAL1--REF-012,COMPRESOR 1 DE TORNILLO GEA,Corrective Action Needed - See Comments,ICM,0,H,Terminado,0.35,ROLANDOM97,0.35,
8325,45720,EC-CH-TAL1--REF-014,COMPRESOR 3 DE TORNILLO GEA,Corrective Action Needed - See Comments,ICM,0,H,Terminado,0.75,ROLANDOM97,0.0,
7469,45686,EC-CH-TAL1--REF-013,COMPRESOR 2 DE TORNILLO GEA,Temperatura de aceite normal,ICM,0,H,Terminado,1.0,ROLANDOM97,0.0,
6934,45664,EC-CH-TAL1--REF-014,COMPRESOR 3 DE TORNILLO GEA,Capacidad de compresor detenida,ICM,0,H,Terminado,0.35,ROLANDOM97,5.0,
6003,45629,EC-CH-TAL1--REF-013,COMPRESOR 2 DE TORNILLO GEA,Aperaje de motor 170 A,ICM,0,H,Terminado,0.25,EMERFP1,0.0,
5059,45593,EC-CH-TAL1--REF-014,COMPRESOR 3 DE TORNILLO GEA,Indicador de capacidad en mal estado,ICM,0,H,Terminado,0.35,ROLANDOM97,5.0,
3082,45524,EC-CH-TAL1--REF-014,COMPRESOR 3 DE TORNILLO GEA,Capacidad de compresor detenida en 46%,ICM,0,H,Terminado,0.35,ROLANDOM97,5.0,
2903,2024-08-14 00:00:00,EC-CH-TAL1--REF-012,COMPRESOR 1 DE TORNILLO GEA,Amperaje motor,ICM,0,H,Terminado,0.5,ROLANDOM97,0.0,
2680,45516,EC-CH-TAL1--REF-014,COMPRESOR 3 DE TORNILLO GEA,Fuga en sello mecánico,ICM,0,H,Terminado,3.0,ROLANDOM97,3.0,
2792,45516,EC-CH-TAL1--REF-013,COMPRESOR 2 DE TORNILLO GEA,Amperaje de motor,ICM,0,H,Terminado,1.0,ROLANDOM97,1.0,
12104,2025-08-03 00:00:00,EC-CH-TAL1--REF-012,COMPRESOR 1 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,O,Terminado,1.0,MAURICIO75,0.3,ISP-1D-00
12105,45872,EC-CH-TAL1--REF-013,COMPRESOR 2 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,O,Terminado,1.0,MAURICIO75,0.3,ISP-1D-00
12106,45872,EC-CH-TAL1--REF-014,COMPRESOR 3 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,O,Terminado,1.0,MAURICIO75,0.3,ISP-1D-00
12084,2025-08-02 00:00:00,EC-CH-TAL1--REF-012,COMPRESOR 1 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,O,Terminado,1.0,MAURICIO75,0.3,ISP-1D-00
12085,45871,EC-CH-TAL1--REF-013,COMPRESOR 2 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,O,Terminado,1.0,MAURICIO75,0.3,ISP-1D-00
12086,45871,EC-CH-TAL1--REF-014,COMPRESOR 3 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,O,Terminado,1.0,MAURICIO75,0.3,ISP-1D-00
12065,2025-08-01 00:00:00,EC-CH-TAL1--REF-012,COMPRESOR 1 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,H,Terminado,0.45,ROLANDOM97,0.3,ISP-1D-00
12066,45870,EC-CH-TAL1--REF-013,COMPRESOR 2 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,H,Terminado,0.4,FELIPERI99,0.3,ISP-1D-00
12067,45870,EC-CH-TAL1--REF-014,COMPRESOR 3 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,H,Terminado,0.4,FELIPERI99,0.3,ISP-1D-00
12039,2025-07-31 00:00:00,EC-CH-TAL1--REF-012,COMPRESOR 1 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,H,Terminado,0.4,FELIPERI99,0.3,ISP-1D-00
12040,45869,EC-CH-TAL1--REF-013,COMPRESOR 2 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,H,Terminado,0.4,FELIPERI99,0.3,ISP-1D-00
12041,45869,EC-CH-TAL1--REF-014,COMPRESOR 3 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,H,Terminado,0.4,FELIPERI99,0.3,ISP-1D-00
12024,2025-07-30 00:00:00,EC-CH-TAL1--REF-012,COMPRESOR 1 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,H,Terminado,0.45,FELIPERI99,0.3,ISP-1D-00
12025,45868,EC-CH-TAL1--REF-013,COMPRESOR 2 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,H,Terminado,0.4,FELIPERI99,0.3,ISP-1D-00
12026,45868,EC-CH-TAL1--REF-014,COMPRESOR 3 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,H,Terminado,0.4,FELIPERI99,0.3,ISP-1D-00
11983,2025-07-29 00:00:00,EC-CH-TAL1--REF-012,COMPRESOR 1 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,H,Terminado,0.5,DIEGONTI99,0.3,ISP-1D-00
11984,45867,EC-CH-TAL1--REF-013,COMPRESOR 2 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,H,Terminado,0.5,DIEGONTI99,0.3,ISP-1D-00
11985,45867,EC-CH-TAL1--REF-014,COMPRESOR 3 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,H,Terminado,0.5,DIEGONTI99,0.3,ISP-1D-00
11936,2025-07-28 00:00:00,EC-CH-TAL1--REF-012,COMPRESOR 1 DE TORNILLO GEA,Inspección semanal de seguridad y operación de compresores de NH3,PM,0,H,Terminado,1.2,ORLANDOM99,0.59,ISP-1S-00
11937,45866,EC-CH-TAL1--REF-013,COMPRESOR 2 DE TORNILLO GEA,Inspección semanal de seguridad y operación de compresores de NH3,PM,0,H,Terminado,1.2,ORLANDOM99,0.59,ISP-1S-00
11938,45866,EC-CH-TAL1--REF-014,COMPRESOR 3 DE TORNILLO GEA,Inspección semanal de seguridad y operación de compresores de NH3,PM,0,H,Terminado,1.2,ORLANDOM99,0.59,ISP-1S-00
11920,2025-07-27 00:00:00,EC-CH-TAL1--REF-012,COMPRESOR 1 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,H,Terminado,0.5,DANIELMU95,0.3,ISP-1D-00
11921,45865,EC-CH-TAL1--REF-013,COMPRESOR 2 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,H,Terminado,0.6,DANIELMU95,0.3,ISP-1D-00
11922,45865,EC-CH-TAL1--REF-014,COMPRESOR 3 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,H,Terminado,0.6,DANIELMU95,0.3,ISP-1D-00
11909,2025-07-26 00:00:00,EC-CH-TAL1--REF-012,COMPRESOR 1 DE TORNILLO GEA,Inspección diaria de operación de compresores de NH3,PM,0,H,Terminado,0.4,FELIPERI99,0.3,ISP-1D-00
