Hora,Compresor 2 - RCS: Presión de Descarga,Compresor 2 - RCS: Presión de Succion,Compresor 2 - RCS: Temperatura de Aceite,Compresor 2 - RCS: Temperatura de Descarga,Compresor C-2: Demanda (kW),Unnamed: 6,Unnamed: 7
2025-01-01 00:00:00 GMT-3,8.56,1.312,38.58,58.68,81.2036,,
2025-01-01 00:05:00 GMT-3,8.5,1.302,38.48,58.6,80.5978,,
2025-01-01 00:10:00 GMT-3,8.5,1.31,38.52,58.66,80.89,,
2025-01-01 00:15:00 GMT-3,8.5,1.308,38.58,58.7,81.0912,,
2025-01-01 00:20:00 GMT-3,8.5,1.312,38.58,58.76,81.2446,,
2025-01-01 00:25:00 GMT-3,8.56,1.314,38.6,58.78,81.378,,
2025-01-01 00:30:00 GMT-3,8.56,1.316,38.62,58.8,81.2686,,
2025-01-01 00:35:00 GMT-3,8.68,1.26,38.74,58.94,81.2212,,
2025-01-01 00:40:00 GMT-3,8.86,1.226,39.04,59.4,81.912,,
2025-01-01 00:45:00 GMT-3,8.92,1.216,39.32,59.58,82.175,,
2025-01-01 00:50:00 GMT-3,9.0,1.22,39.42,59.6,82.3924,,
2025-01-01 00:55:00 GMT-3,9.0,1.238,39.48,59.66,82.7804,,
2025-01-01 01:00:00 GMT-3,9.0,1.256,39.5,59.7,83.1474,,
2025-01-01 01:05:00 GMT-3,9.02,1.268,39.52,59.7,83.3982,,
2025-01-01 01:10:00 GMT-3,9.1,1.266,39.52,59.74,83.5866,,
2025-01-01 01:15:00 GMT-3,9.1,1.27,39.52,59.8,83.6718,,
2025-01-01 01:20:00 GMT-3,9.1,1.276,39.54,59.8,83.9354,,
2025-01-01 01:25:00 GMT-3,9.1,1.268,39.6,59.8,83.8284,,
2025-01-01 01:30:00 GMT-3,9.1,1.26,39.54,59.8,83.7266,,
2025-01-01 01:35:00 GMT-3,9.04,1.258,39.52,59.8,83.6436,,
2025-01-01 01:40:00 GMT-3,9.0,1.256,39.5,59.78,83.513,,
2025-01-01 01:45:00 GMT-3,8.98,1.25,39.44,59.7,83.375,,
2025-01-01 01:50:00 GMT-3,8.98,1.246,39.36,59.62,83.061,,
2025-01-01 01:55:00 GMT-3,9.0,1.244,39.36,59.7,83.2896,,
2025-01-01 02:00:00 GMT-3,9.0,1.242,39.4,59.74,83.385,,
2025-01-01 02:05:00 GMT-3,9.0,1.242,39.4,59.76,83.45366666666666,,
2025-01-01 02:10:00 GMT-3,9.0,1.24,39.4,59.76,83.4114,,
2025-01-01 02:15:00 GMT-3,9.0,1.24,39.4,59.74,83.424,,
2025-01-01 02:20:00 GMT-3,9.0,1.24,39.42,59.76,83.4218,,
2025-01-01 02:25:00 GMT-3,9.0,1.236,39.46,59.78,83.4136,,
2025-01-01 02:30:00 GMT-3,9.0,1.244,39.44,59.74,83.4018,,
2025-01-01 02:35:00 GMT-3,9.0,1.25,39.38,59.78,83.7118,,
2025-01-01 02:40:00 GMT-3,9.0,1.24,39.36,59.78,83.5702,,
2025-01-01 02:45:00 GMT-3,9.0,1.238,39.32,59.78,83.5582,,
2025-01-01 02:50:00 GMT-3,9.0,1.238,39.36,59.76,83.5088,,
2025-01-01 02:55:00 GMT-3,9.0,1.236,39.36,59.74,83.4966,,
2025-01-01 03:00:00 GMT-3,9.0,1.234,39.24,59.7,83.2788,,
2025-01-01 03:05:00 GMT-3,9.0,1.24,39.28,59.7,83.2182,,
2025-01-01 03:10:00 GMT-3,9.0,1.24,39.26,59.66,83.1932,,
2025-01-01 03:15:00 GMT-3,9.0,1.242,39.2,59.68,83.2398,,
2025-01-01 03:20:00 GMT-3,9.0,1.24,39.2,59.62,83.2032,,
2025-01-01 03:25:00 GMT-3,8.98,1.236,39.2,59.6,83.1678,,
2025-01-01 03:30:00 GMT-3,8.92,1.236,39.2,59.66,83.2158,,
